address,pools,tier,smart,bot,edge,large,targetT,targetLarge,avgNotional,copyROI,copyT,targetCopyROI,targetCopyT,shares,maxShares,markets,categories,top,score_sources,risk
0xa8bd9ae70657db83444c6ca987b8aeb9fb0ab7aa,sports_holders_push,BOT,70.9,63.3,85.0,353,934,211,289,-60.3,9,-34.0,2,102000,52000,2,soccer:2,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,holder,"bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
0xdac7c8e3941162ca3f8b378eafaa2b3696596d53,sports_holders_push,BOT,100.0,65.6,100.0,327,766,162,645,15.2,12,49.7,6,125000,125000,1,soccer:1,Will France win on 2026-07-14?,holder,"bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x1cc16713196d456f86fa9c7387dd326a7f73b8df,sports_holders_push,BOT,100.0,61.6,100.0,390,11,11,1109,315.0,15,-3.6,1,58220,58220,1,soccer:1,Will England reach the 2026 FIFA World Cup final?,existing,"bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0xd961dd5107dc8cfbc95d26f3c9c9bac9264235de,sports_holders_push,BOT,100.0,64.2,100.0,257,1278,234,313,1.4,22,1.4,22,179418,88888,4,soccer:4,France vs. Spain: Team to Advance,holder,"bot_like_flow,burst_trading,opposite_side_same_market"
0xfd2930a094c0a6900a2dc947e5db462d11ae77ae,sports_holders_push,D,100.0,52.4,100.0,194,1493,192,121,0.0,0,0.0,0,238076,238076,1,soccer:1,Will France win on 2026-07-14?,holder,"bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
0x7583d5f8a1031ff4afcdc6db4e2143bfd41b4df2,sports_holders_push,BOT,73.8,70.4,98.2,59,22,22,11056,-8.8,4,255.9,1,368792,318792,2,soccer:2,Will France win on 2026-07-14?,"holder,leaderboard_volume_7d","bot_like_flow,fixed_price,burst_trading,opposite_side_same_market,open_copy_exposure"
0xb272505077cc2c6bde5acca133ea6364152e5030,sports_holders_push,BOT,100.0,70.6,100.0,251,367,14,211,9.6,7,0.1,1,170000,100000,4,basketball:4,Will LeBron James play for the Philadelphia 76ers in 2026-27?,"existing,leaderboard_profit_7d","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x54525ee78bd513b0bf75f94e560158f6fc35d448,sports_holders_push,C,100.0,39.7,100.0,315,1223,287,197,0.0,0,0.0,0,101291,49823,13,soccer:13,Will Jude Bellingham be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","burst_trading,open_copy_exposure"
0x7dddf1968c14900b2d2ef9dada8465e82ac4c933,sports_holders_push,BOT,95.6,62.8,100.0,145,1482,145,499,0.0,0,0.0,0,270000,270000,1,soccer:1,Will France vs. Spain end in a draw?,"existing,holder","bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
0xf68a281980f8c13828e84e147e3822381d6e5b1b,sports_holders_push,D,100.0,57.9,100.0,333,780,217,328,-0.6,1,0.0,0,77809,14811,24,"esports:9,soccer:15",Will Lionel Messi be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x204f72f35326db932158cba6adff0b9a1da95e14,sports_holders_push,D,100.0,56.5,100.0,115,523,51,55,0.0,0,0.0,0,283899,282327,4,"basketball:2,soccer:2",Will France win on 2026-07-14?,"existing,holder,leaderboard_profit_30d,leaderboard_profit_all,leaderboard_volume_30d,leaderboard_volume_7d,leaderboard_volume_all,sports_tape","bot_like_flow,burst_trading,open_copy_exposure"
0xe558bb7b02ea489d772bd34f14cc845e391fdcd2,sports_holders_push,D,100.0,45.2,100.0,341,809,186,848,-42.0,1,-42.0,1,56436,56436,1,basketball:1,NBA Summer League: Utah Jazz vs. LA Clippers,holder,"bot_like_flow,burst_trading,open_copy_exposure"
0x5257aa84944804bbb0c718814ebebeeafaca3e2a,sports_holders_push,D,100.0,57.3,100.0,194,1343,154,304,0.0,0,0.0,0,200000,200000,1,soccer:1,France vs. Spain: Team to Advance,"existing,holder","bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
0x896e299faf7e6359a353e20cddcc3364fbe553f2,sports_holders_push,BOT,100.0,69.4,100.0,336,125,117,1870,55.8,76,55.1,29,50000,50000,1,soccer:1,France vs. Spain: Team to Advance,holder,"bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0xdfda01f4b92cd096c6d04eed6eb2b069fd584fe6,sports_holders_push,D,100.0,54.2,100.0,316,734,168,242,15.3,12,21.1,4,62580,58000,2,soccer:2,France vs. Spain: Team to Advance,holder,"bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x225b8c4561bbb07f92f380f6bc8d92071f1a9a83,sports_holders_push,D,100.0,47.2,100.0,300,1455,298,83,0.0,0,0.0,0,77354,31279,5,soccer:5,Will England reach the 2026 FIFA World Cup final?,"existing,holder","bot_like_flow,fixed_price,burst_trading,open_copy_exposure"
